ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"80.87.191.175","anonymous","AS35214","CZ","Oxid - I","30","N/A","8888","http","487","5002","2022-09-20T16:09:33.790Z","100","1","1"
"103.242.104.244","elite","AS58821","ID","PT Lintas Jaringan Nusantara","162","PT Lintas Jaringan Nusantara","5678","socks4","249","1","2022-09-20T16:09:28.814Z","96","44","46"
"36.94.110.49","elite","AS7713","ID","PT. Telekomunikasi Indonesia","171","Telekomunikasi Indonesia","5678","socks4","281","1","2022-09-20T16:09:25.942Z","75","21","28"
"103.80.210.160","elite","AS17882","MN","Unidish LLC","226","N/A","14888","socks4","287","1","2022-09-20T16:09:25.216Z","100","23","23"
"5.34.74.234","elite","AS21299","KZ","2Day Telecom LLP","93","N/A","5678","socks4","284","1","2022-09-20T16:09:20.327Z","100","60","60"
"103.111.160.41","elite","AS59323","PK","Punjab Information Technology Board","151","Pitb Punjab","5678","socks4","289","1","2022-09-20T16:09:19.342Z","99","79","80"
"123.133.253.2","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","174","N/A","8118","http","994","5215","2022-09-20T16:09:19.049Z","100","4","4"
"103.74.146.105","anonymous","AS135753","IN","Airmax Internet Private Limited","157","Airmax Internet Private Limited","83","http","2838","5001","2022-09-20T16:09:15.645Z","100","6","6"
"118.89.176.33","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","273","Tencent cloud computing (Beijing) Co., Ltd.","8118","http","1925","1192","2022-09-20T16:09:15.323Z","100","1","1"
"80.122.170.182","elite","AS8447","AT","A1 Telekom Austria AG","51","A1 Telekom Austria AG","4153","socks4","1241","1","2022-09-20T16:09:14.041Z","97","59","61"
"183.88.44.183","anonymous","AS45629","TH","Triple T Broadband Public Company Limited","167","Triple T Broadband Public Company Limited","8080","http","4129","5176","2022-09-20T16:09:14.388Z","100","6","6"
"69.163.166.93","elite","AS26347","US","New Dream Network, LLC","156","New Dream Network, LLC","62764","socks5","1477","1","2022-09-20T16:09:14.040Z","100","54","54"
"177.66.195.115","elite","AS262503","BR","Wiki Telecomunicacoes Eireli","200","Maranhão Telecom ltda ME","4145","socks4","2602","1","2022-09-20T16:09:13.304Z","98","41","42"
"138.185.236.123","elite","AS263919","BR","Powertech Informatica","253","Egla Alves Bispo - ME","5678","socks4","2365","1","2022-09-20T16:09:13.306Z","100","17","17"
"43.240.103.178","elite","AS38026","BD","MetroNet Bangladesh Limited","173","N/A","1088","socks4","2156","1","2022-09-20T16:09:13.819Z","86","32","37"
"124.122.137.249","elite","AS17552","TH","True Internet Co., Ltd.","203","TRUE BB","4153","socks4","2598","1","2022-09-20T16:09:12.311Z","100","6","6"
"36.95.48.45","elite","AS7713","ID","PT. Telekomunikasi Indonesia","166","Telekomunikasi Indonesia","1080","socks4","3060","1","2022-09-20T16:09:12.310Z","96","77","80"
"61.9.53.157","anonymous","AS17970","PH","Sky Cable Corporation","202","Sky Cable Corporation","1337","http","3317","1818","2022-09-20T16:09:12.312Z","100","80","80"
"103.24.126.182","elite","AS18229","IN","Tri-Networks","148","Tri Isp Networks Private Limited","82","socks4","2532","1","2022-09-20T16:09:11.291Z","100","32","32"
"176.9.119.252","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","30172","socks4","2967","1","2022-09-20T16:09:11.033Z","100","68","68"
"110.34.166.182","elite","AS45652","SG","VPLS, Inc.","237","Vpls Sin1","4153","socks4","4041","1","2022-09-20T16:09:10.280Z","100","80","80"
"93.113.101.85","elite","AS204373","PL","POLINEO Sp. z o.o.","281","POLINEO Sp. z o.o","5678","socks4","3369","1","2022-09-20T16:09:10.282Z","99","79","80"
"75.119.204.158","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","42863","socks5","3776","1","2022-09-20T16:09:10.281Z","100","80","80"
"198.0.198.132","elite","AS7922","US","Comcast Cable Communications","175","SMX SM PUBLIC ARPRT DIST","54321","socks4","4578","1","2022-09-20T16:09:09.207Z","95","76","80"
"219.153.191.248","elite","AS4134","CN","Chinanet","292","Chinanet CQ","3256","socks5","3099","1","2022-09-20T16:09:09.246Z","100","7","7"
"78.152.168.145","elite","AS8779","UA","KhmelnitskInfocom LTD","47","KhmelnitskInfocom LTD","8001","socks4","5120","1","2022-09-20T16:09:07.936Z","96","77","80"
"186.93.96.70","elite","AS8048","VE","CANTV Servicios, Venezuela","308","CANTV Servicios, Venezuela","9064","socks4","5220","5017","2022-09-20T16:09:06.136Z","100","1","1"
"109.200.159.29","anonymous","AS6789","UA","CRELCOM","74","N/A","8080","http","4943","3535","2022-09-20T16:09:04.753Z","100","48","48"
"103.242.104.246","elite","AS58821","ID","PT Lintas Jaringan Nusantara","162","PT Lintas Jaringan Nusantara","5678","socks4","5126","1","2022-09-20T16:09:04.752Z","100","57","57"
"156.239.144.87","elite","AS22773","US","Cox Communications Inc.","82","GBTCloud Inc","10001","socks5","4512","1","2022-09-20T16:09:04.752Z","100","25","25"
"143.110.151.242","elite","AS14061","US","DigitalOcean, LLC","148","DigitalOcean, LLC","3128","http","5053","1765","2022-09-20T16:09:01.972Z","100","6619","6620"
"58.214.70.241","elite","AS4134","CN","Chinanet","284","Chinanet JS","28643","socks4","5024","1","2022-09-20T16:09:01.969Z","94","34","36"
"102.176.160.70","elite","AS37612","GN","2nd RO","213","N/A","5678","socks4","5034","1","2022-09-20T16:09:00.502Z","67","14","21"
"147.135.36.162","elite","AS16276","US","OVH US LLC","144","OVH HIL","57752","socks5","4613","1","2022-09-20T16:08:57.061Z","100","49","49"
"27.46.44.26","elite","AS17623","CN","China Unicom Guangdong Province Network","290","N/A","9797","socks4","4874","1","2022-09-20T16:08:57.028Z","59","19","32"
"94.43.64.47","elite","AS35805","GE","JSC \"Silknet\"","84","Silknet - 4","5678","socks4","4966","1","2022-09-20T16:08:55.549Z","100","74","74"
"185.135.197.10","anonymous","AS200697","IQ","Dijlat Al-Khair for communications and internet Ltd","84","Information Tower Company General Trading and Information Technology / Ltd","8080","http","5041","5094","2022-09-20T16:08:55.552Z","99","79","80"
"172.67.187.242","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4933","1","2022-09-20T16:08:55.548Z","100","80","80"
"91.96.81.106","elite","AS9145","DE","EWE TEL GmbH","20","EWE TEL GmbH","8118","https","4708","6532","2022-09-20T16:08:54.064Z","100","37","37"
"77.108.78.18","elite","AS8732","RU","comcor.ru","61","N/A","48079","socks4","4534","1","2022-09-20T16:08:51.782Z","100","75","75"
"170.254.255.252","elite","AS52584","BR","Connect Fibra","222","Connect Fibra","45816","socks4","4126","1","2022-09-20T16:08:51.783Z","100","76","76"
"186.219.96.47","elite","AS262420","BR","Giga TV Ltda - EPP","255","Giga TV Ltda - EPP","49923","socks4","2941","1","2022-09-20T16:08:51.783Z","99","79","80"
"37.111.50.252","elite","AS133385","MM","Atom Myanmar Limited","207","Telenor Myanmar","4153","socks4","4323","1","2022-09-20T16:08:51.783Z","99","74","75"
"121.101.186.29","elite","AS38785","ID","BAGUSNET","199","N/A","43296","socks4","5141","1","2022-09-20T16:08:49.912Z","90","72","80"
"109.201.9.100","anonymous","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","92","Fanaptelecom Network","8080","http","4858","533","2022-09-20T16:08:49.913Z","100","80","80"
"177.184.67.73","elite","AS52898","BR","Multipla Serviços Inteligentes","251","Multipla Serviços Inteligentes","4145","socks4","4271","1","2022-09-20T16:08:48.176Z","100","53","53"
"190.121.21.211","elite","AS14117","CL","Telefonica del Sur S.A.","223","Telefonica del Sur S.A","51963","socks4","4808","1","2022-09-20T16:08:48.200Z","98","78","80"
"195.219.98.27","elite","AS6453","ES","TATA Communications","27","Nexis Tecnologias","5678","socks4","481","1","2022-09-20T16:08:46.121Z","100","25","25"
"180.178.189.38","elite","AS136969","PK","KK Networks (Pvt.) Limited","169","SHARP TELECOM (PRIVATE) LIMITED","8080","socks4","5094","1","2022-09-20T16:08:43.598Z","100","80","80"
"14.161.27.174","anonymous","AS45899","VN","VNPT","286","Vietnam Posts and Telecommunications Group","8080","http","4268","4546","2022-09-20T16:08:43.589Z","100","80","80"
